type,rule_id,text,confidence_pct,company_id
pro,PR01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95,HEROMOTOCO
pro,PR02,Strong free cash flow generation indicates healthy business fundamentals.,90,HEROMOTOCO
pro,PR05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90,HEROMOTOCO
pro,PR07,Very high interest coverage reflects negligible financial stress from debt servicing.,90,HEROMOTOCO
pro,PR08,Healthy dividend payout reflects management's commitment to shareholder returns.,75,HEROMOTOCO
con,CR05,Revenue growth below 5% over five years indicates limited business momentum.,85,HEROMOTOCO
con,CR12,"Long-term revenue growth remains below 5%, indicating limited business expansion.",80,HEROMOTOCO
pro,PR99,Business has stable operations despite not triggering major quantitative strengths.,50,HEROMOTOCO
con,CR99,"Monitor valuation, competition, and future growth expectations despite strong fundamentals.",50,HEROMOTOCO
pro,PR04,Revenue growing above 15% CAGR over five years reflects strong business momentum.,90,HDFCLIFE
pro,PR05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90,HDFCLIFE
pro,PR07,Very high interest coverage reflects negligible financial stress from debt servicing.,90,HDFCLIFE
pro,PR08,Healthy dividend payout reflects management's commitment to shareholder returns.,75,HDFCLIFE
con,CR02,Negative free cash flow raises concerns about cash generation quality.,90,HDFCLIFE
con,CR10,Return on capital employed below 10% suggests weak capital efficiency.,90,HDFCLIFE
pro,PR99,Business has stable operations despite not triggering major quantitative strengths.,50,HDFCLIFE
con,CR99,"Monitor valuation, competition, and future growth expectations despite strong fundamentals.",50,HDFCLIFE
pro,PR04,Revenue growing above 15% CAGR over five years reflects strong business momentum.,90,SHRIRAMFIN
pro,PR05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90,SHRIRAMFIN
pro,PR06,Net profit compounding above 20% over five years creates significant shareholder value.,90,SHRIRAMFIN
pro,PR08,Healthy dividend payout reflects management's commitment to shareholder returns.,75,SHRIRAMFIN
pro,PR11,Profit growing faster than revenue indicates improving operating leverage and scale benefits.,85,SHRIRAMFIN
con,CR01,Debt-to-equity ratio of 3.99 is elevated and warrants monitoring.,95,SHRIRAMFIN
con,CR02,Negative free cash flow raises concerns about cash generation quality.,90,SHRIRAMFIN
con,CR06,Interest coverage below 1.5x indicates elevated debt servicing risk.,95,SHRIRAMFIN
pro,PR99,Business has stable operations despite not triggering major quantitative strengths.,50,SHRIRAMFIN
con,CR99,"Monitor valuation, competition, and future growth expectations despite strong fundamentals.",50,SHRIRAMFIN
pro,PR01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95,HAL
pro,PR02,Strong free cash flow generation indicates healthy business fundamentals.,90,HAL
pro,PR05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90,HAL
pro,PR06,Net profit compounding above 20% over five years creates significant shareholder value.,90,HAL
pro,PR07,Very high interest coverage reflects negligible financial stress from debt servicing.,90,HAL
pro,PR08,Healthy dividend payout reflects management's commitment to shareholder returns.,75,HAL
pro,PR09,EPS growing above 15% CAGR indicates strong earnings quality and long-term compounding.,90,HAL
pro,PR11,Profit growing faster than revenue indicates improving operating leverage and scale benefits.,85,HAL
con,CR08,"Debt-to-equity ratio has increased for three consecutive years, indicating rising leverage risk.",90,HAL
pro,PR99,Business has stable operations despite not triggering major quantitative strengths.,50,HAL
con,CR99,"Monitor valuation, competition, and future growth expectations despite strong fundamentals.",50,HAL
pro,PR02,Strong free cash flow generation indicates healthy business fundamentals.,90,HAVELLS
pro,PR07,Very high interest coverage reflects negligible financial stress from debt servicing.,90,HAVELLS
pro,PR08,Healthy dividend payout reflects management's commitment to shareholder returns.,75,HAVELLS
pro,PR99,Business has stable operations despite not triggering major quantitative strengths.,50,HAVELLS
con,CR99,"Monitor valuation, competition, and future growth expectations despite strong fundamentals.",50,HAVELLS
pro,PR02,Strong free cash flow generation indicates healthy business fundamentals.,90,DIVISLAB
pro,PR03,Debt-free balance sheet provides financial flexibility and eliminates interest burden.,95,DIVISLAB
pro,PR05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90,DIVISLAB
pro,PR07,Very high interest coverage reflects negligible financial stress from debt servicing.,90,DIVISLAB
pro,PR08,Healthy dividend payout reflects management's commitment to shareholder returns.,75,DIVISLAB
con,CR09,"Earnings per share have declined for three consecutive years, indicating weakening profitability.",90,DIVISLAB
pro,PR99,Business has stable operations despite not triggering major quantitative strengths.,50,DIVISLAB
con,CR99,"Monitor valuation, competition, and future growth expectations despite strong fundamentals.",50,DIVISLAB
pro,PR02,Strong free cash flow generation indicates healthy business fundamentals.,90,TATACONSUM
pro,PR04,Revenue growing above 15% CAGR over five years reflects strong business momentum.,90,TATACONSUM
pro,PR06,Net profit compounding above 20% over five years creates significant shareholder value.,90,TATACONSUM
pro,PR07,Very high interest coverage reflects negligible financial stress from debt servicing.,90,TATACONSUM
pro,PR08,Healthy dividend payout reflects management's commitment to shareholder returns.,75,TATACONSUM
pro,PR11,Profit growing faster than revenue indicates improving operating leverage and scale benefits.,85,TATACONSUM
con,CR08,"Debt-to-equity ratio has increased for three consecutive years, indicating rising leverage risk.",90,TATACONSUM
pro,PR99,Business has stable operations despite not triggering major quantitative strengths.,50,TATACONSUM
con,CR99,"Monitor valuation, competition, and future growth expectations despite strong fundamentals.",50,TATACONSUM
